,estimate_of_risk,months_since_last_trade,average_duration_of_resolution,number_of_satisfactory_trades,percentage_of_legal_trades,nr_total_trades,months_since_last_inquiry_not_recent,net_fraction_of_revolving_burden,nr_banks_with_high_ratio,percentage_trades_with_balance,is_at_risk
0,0.6699029126213593,0.030612244897959183,0.18622448979591838,0.3409090909090909,0.963302752293578,0.2831858407079646,0.2727272727272727,0.04149377593360996,0.3333333333333333,0.8440366972477065,1.0
1,0.8155339805825242,0.05102040816326531,0.1760204081632653,0.22727272727272727,0.8623853211009175,0.19469026548672566,0.2727272727272727,0.03734439834024896,0.3333333333333333,0.43119266055045874,0.0
2,0.7184466019417476,0.04081632653061224,0.2857142857142857,0.6477272727272727,0.963302752293578,0.5132743362831859,0.06060606060606061,0.3360995850622407,0.5555555555555556,0.8623853211009175,1.0
3,0.941747572815534,0.04591836734693878,0.32142857142857145,0.4659090909090909,1.0,0.36283185840707965,0.6666666666666666,0.03734439834024896,0.3333333333333333,0.4036697247706422,0.0
4,0.7475728155339806,0.04591836734693878,0.2729591836734694,0.3409090909090909,0.8256880733944955,0.26548672566371684,0.2727272727272727,0.14522821576763487,0.3333333333333333,0.6972477064220184,1.0
5,0.8155339805825242,0.03571428571428571,0.16326530612244897,0.3409090909090909,1.0,0.168141592920354,0.06060606060606061,0.21161825726141079,0.3333333333333333,0.7155963302752294,1.0
6,0.8737864077669902,0.058673469387755105,0.21683673469387754,0.25,0.926605504587156,0.19469026548672566,0.3939393939393939,0.1037344398340249,0.3333333333333333,0.7339449541284404,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,0.9514563106796117,0.02806122448979592,0.33418367346938777,0.26136363636363635,1.0,0.21238938053097345,0.2727272727272727,0.04564315352697095,0.3333333333333333,0.6055045871559633,0.0
9,0.7669902912621359,0.03826530612244898,0.2423469387755102,0.7727272727272727,1.0,0.6194690265486725,0.30303030303030304,0.3070539419087137,0.5555555555555556,0.7064220183486238,0.0
10,0.9514563106796117,0.14540816326530612,0.41836734693877553,0.20454545454545456,1.0,0.168141592920354,0.2727272727272727,0.06224066390041494,0.3333333333333333,0.8165137614678899,0.0
11,0.6893203883495146,0.02806122448979592,0.22193877551020408,0.4431818181818182,0.908256880733945,0.35398230088495575,0.2727272727272727,0.2572614107883817,0.3333333333333333,0.5779816513761468,1.0
12,0.7669902912621359,0.030612244897959183,0.1989795918367347,0.375,0.8899082568807339,0.37168141592920356,0.2727272727272727,0.3236514522821577,0.37037037037037035,1.0,1.0
13,0.6893203883495146,0.04591836734693878,0.18112244897959184,0.3068181818181818,0.8715596330275229,0.26548672566371684,0.2727272727272727,0.23651452282157676,0.4074074074074074,0.7706422018348624,1.0
14,0.6504854368932039,0.05357142857142857,0.17857142857142858,0.4318181818181818,0.9724770642201835,0.336283185840708,0.06060606060606061,0.1908713692946058,0.4074074074074074,0.8348623853211009,1.0
15,0.7572815533980582,0.05102040816326531,0.1683673469387755,0.4318181818181818,1.0,0.336283185840708,0.3939393939393939,0.23651452282157676,0.4444444444444444,0.8165137614678899,1.0
16,0.6699029126213593,0.04591836734693878,0.14795918367346939,0.45454545454545453,0.9724770642201835,0.36283185840707965,0.2727272727272727,0.31950207468879666,0.4444444444444444,0.7798165137614679,1.0
17,0.6601941747572816,0.24489795918367346,0.3596938775510204,0.2159090909090909,0.6238532110091743,0.23008849557522124,0.9393939393939394,0.03734439834024896,0.037037037037037035,0.3853211009174312,0.0
18,0.7572815533980582,0.03571428571428571,0.2729591836734694,0.4659090909090909,0.9174311926605505,0.415929203539823,0.7878787878787878,0.13692946058091288,0.3333333333333333,0.6697247706422018,0.0
19,0.9514563106796117,0.08163265306122448,0.20918367346938777,0.2727272727272727,1.0,0.21238938053097345,0.06060606060606061,0.04149377593360996,0.3333333333333333,0.5412844036697247,0.0
0,0.7933738231658936,0.050663381814956665,0.16501836478710175,0.22140420973300934,0.8514897227287292,0.1953987181186676,0.2677246928215027,0.04572119191288948,0.33384329080581665,0.4342465102672577,0.5
1,0.661293089389801,0.04119252413511276,0.18065990507602692,0.3917868137359619,0.8644431829452515,0.3729825019836426,0.6030372381210327,0.14570847153663635,0.34115639328956604,0.44549351930618286,0.5
2,0.807960569858551,0.057612061500549316,0.18415601551532745,0.23256869614124298,0.894243061542511,0.1967936009168625,0.3790791630744934,0.12861600518226624,0.33484554290771484,0.7430144548416138,0.5
3,0.7794265747070312,0.025221893563866615,0.24828563630580902,0.2158546894788742,0.9161669015884399,0.2182682454586029,0.23379123210906982,0.1114232987165451,0.33772802352905273,0.6302258968353271,0.5
4,0.7195854783058167,0.037500981241464615,0.21881194412708282,0.7601750493049622,0.9766929149627686,0.6209841966629028,0.2923279106616974,0.3249717652797699,0.5566442608833313,0.7129526734352112,0.5
5,0.7584174275398254,0.14221639931201935,0.3219340443611145,0.15348464250564575,0.9060003161430359,0.174774169921875,0.22902585566043854,0.13612423837184906,0.3383047580718994,0.8443506360054016,0.5
6,0.6487395167350769,0.24471338093280792,0.354007363319397,0.2128753513097763,0.6182208061218262,0.2304547131061554,0.9368082880973816,0.0416739247739315,0.03730028495192528,0.38689857721328735,0.5
7,0.6668453812599182,0.03425602242350578,0.22806155681610107,0.44196051359176636,0.8729626536369324,0.41881877183914185,0.7674604654312134,0.17111201584339142,0.33541029691696167,0.6821820735931396,0.5
8,0.833841860294342,0.07973610609769821,0.15079261362552643,0.2415820062160492,0.942171037197113,0.21614709496498108,0.034054193645715714,0.08594874292612076,0.3360363245010376,0.5574865937232971,0.5
